AccumulateRainfallInCatchment,DesiltingTunnelOutflow,DrainageTunnelOutflow,EffectiveWaterStorageCapacity,InflowDischarge,ObservationTime,OthersOutflow,PowerOutletOutflow,PredeterminedCrossFlow,PredeterminedOutflowTime,ReservoirIdentifier,SpillwayOutflow,StatusType,TotalOutflow,WaterDraw,WaterLevel
"","","","36.49","","2023-06-05T06:00:00","","","","","10203","","-1","0","","71.93"
"","","","36.49","","2023-06-05T07:00:00","","","","","10203","","-1","0","","71.93"
"","","","0","","2023-06-05T07:00:00","","","","","10404","","-1","0","","44"
"","","","0","","2023-06-06T07:00:00","","","","","10404","","-1","0","","44"
"0","","","7545.31","34.88","2023-06-05T03:00:00","0.28","","","","20101","0","-1","0.28","6.56","289.6"
"0","","","7552.05","25.56","2023-06-05T04:00:00","0.28","","","","20101","0","-1","0.28","6.47","289.62"
"0","","","7552.05","6.75","2023-06-05T05:00:00","0.28","","","","20101","0","-1","0.28","6.56","289.62"
"0","","","7558.79","25.56","2023-06-05T06:00:00","0.27","","","","20101","0","-1","0.27","6.51","289.64"
"0","","","7562.16","16.14","2023-06-05T07:00:00","0.27","","","","20101","0","-1","0.27","6.57","289.65"
"0","","","7565.53","16.2","2023-06-05T08:00:00","0.27","","","","20101","0","-1","0.27","6.5","289.66"
"0","","","7572.28","25.52","2023-06-05T09:00:00","0.28","","","","20101","0","-1","0.28","6.58","289.68"
"0","","","7579.02","25.58","2023-06-05T10:00:00","0.27","","","","20101","0","-1","0.27","6.55","289.7"
"0","","","7582.39","16.18","2023-06-05T11:00:00","0.28","","","","20101","0","-1","0.28","6.5","289.71"
"0","","","7585.76","16.14","2023-06-05T12:00:00","0.27","","","","20101","0","-1","0.27","6.48","289.72"
"0","","","7589.13","16.11","2023-06-05T13:00:00","0.27","","","","20101","0","-1","0.27","6.45","289.73"
"0","","","7595.87","25.44","2023-06-05T14:00:00","0.27","","","","20101","0","-1","0.27","6.47","289.75"
